Equation,Iteration,Euler Error,Euler Improved Error,RK4 Error,,,,,,Euler Time,Euler Improved Time,RK4 Time,,,,Euler Time,Euler Improved Time,RK4 Time
Equation 1,0,0,0,0,,,,,,0.3625307,0.8610869,1.5833332,,,,0.3625307,0.8610869,1.5833332
Equation 1,1,1.639344262,0,0,,,,,,0.41414,0.9582334,2.02515,,,,0.3625307,0.8610869,1.5833332
Equation 1,2,2.702702703,0,0,,,,,,0.6371404,1.4096553,2.0847871,,,,0.3625307,0.8610869,1.5833332
Equation 1,3,3.370786517,1.25E-14,1.25E-14,,,,,,0.495798,1.6172329,2.0418703,,,,0.3625307,0.8610869,1.5833332
Equation 1,4,3.773584906,0,0,,,,,,0.396761,0.9796013,1.713863,,,,0.3625307,0.8610869,1.5833332
Equation 1,5,4,0,0,,,,,,0.5996707,1.4375546,2.4355609,,,,0.3625307,0.8610869,1.5833332
Equation 1,6,4.109589041,1.52E-14,1.52E-14,,,,,,0.4133615,0.9972812,1.8973432,,,,0.3625307,0.8610869,1.5833332
Equation 1,7,4.142011834,2.63E-14,2.63E-14,,,,,,,,,,,,0.3625307,0.8610869,1.5833332
Equation 1,8,4.12371134,1.14E-14,1.14E-14,,,,,,,,,,,,0.3625307,0.8610869,1.5833332
Equation 1,9,4.07239819,0,0,,,,,,,,,,,,0.3625307,0.8610869,1.5833332
Equation 1,10,4,0,0,,,,,,,,,,,,0.3625307,0.8610869,1.5833332
Equation 1,11,3.914590747,1.58E-14,1.58E-14,,,,,,,,,,,,0.3625307,0.8610869,1.5833332
Equation 1,12,3.821656051,1.41E-14,1.41E-14,,,,,,,,,,,,0.3625307,0.8610869,1.5833332
Equation 1,13,3.724928367,0,0,,,,,,,,,,,,0.3625307,0.8610869,1.5833332
Equation 1,14,3.626943005,0,0,,,,,,,,,,,,0.3625307,0.8610869,1.5833332
Equation 1,15,3.529411765,0,0,,,,,,,,,,,,0.3625307,0.8610869,1.5833332
Equation 1,16,3.433476395,0,0,,,,,,,,,,,,0.3625307,0.8610869,1.5833332
Equation 1,17,3.339882122,1.74E-14,1.74E-14,,,,,,,,,,,,0.3625307,0.8610869,1.5833332
Equation 1,18,3.249097473,1.60E-14,1.60E-14,,,,,,,,,,,,0.3625307,0.8610869,1.5833332
Equation 1,19,3.161397671,2.96E-14,2.96E-14,,,,,,,,,,,,0.3625307,0.8610869,1.5833332
Equation 1,20,3.076923077,0,0,,,,,,,,,,,,0.3625307,0.8610869,1.5833332
Equation 1,21,2.995720399,1.27E-14,1.27E-14,,,,,,,,,,,,0.3625307,0.8610869,1.5833332
Equation 1,22,2.917771883,1.18E-14,1.18E-14,,,,,,,,,,,,0.3625307,0.8610869,1.5833332
